Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
04/30/2010,7.60,2.13,47.40,0.00,30.70,33.96,2.19
04/13/2007,7.75,2.21,47.00,0.00,31.80,34.02,2.56
08/28/2008,7.83,1.96,43.00,0.00,29.60,33.97,3.09
04/10/2006,7.84,2.34,45.80,0.01,29.10,33.82,2.25
07/08/2007,7.84,2.15,45.00,0.00,31.50,34.02,2.37
04/25/2007,7.91,2.14,45.10,0.00,31.00,34.02,2.70
07/09/2007,7.93,2.15,44.40,0.00,31.30,34.02,2.34
07/16/2006,7.95,2.28,45.80,0.00,32.90,33.76,2.12
01/30/2010,7.96,2.59,51.00,0.00,34.10,34.14,1.60
11/06/2009,8.01,2.40,48.00,0.02,32.20,34.08,1.98
03/18/2009,8.04,2.07,42.00,0.00,30.00,34.01,2.82
08/07/2010,8.05,1.79,36.00,0.13,26.30,33.73,3.50
07/07/2013,8.13,1.84,41.30,0.00,26.70,33.64,3.25
04/17/2006,8.16,2.19,41.40,0.00,27.30,33.65,2.66
04/24/2007,8.16,2.04,42.00,0.00,29.70,34.02,2.93
10/27/2000,8.19,1.87,63.00,0.00,27.90,33.99,3.45
01/30/2002,8.19,3.32,46.90,0.01,30.80,33.95,1.83
07/15/2006,8.23,2.06,39.70,0.00,29.80,33.68,2.88
11/01/2006,8.24,1.85,36.90,0.00,27.80,33.68,3.25
04/09/2006,8.26,2.12,39.60,0.02,27.40,33.76,2.80
01/09/2009,8.29,2.48,48.00,0.01,33.00,34.16,1.89
07/11/2007,8.31,2.15,42.00,0.00,30.60,34.02,2.26
07/10/2002,8.32,2.43,39.30,0.02,27.40,33.67,2.70
11/21/2002,8.32,2.20,36.50,0.00,26.70,33.56,2.98
04/19/2000,8.34,2.56,86.00,0.00,32.40,34.14,1.81
10/22/2008,8.37,2.32,44.00,0.00,31.60,34.12,1.98
08/29/2008,8.39,1.63,32.00,0.00,24.90,33.91,3.66
07/03/2002,8.40,2.69,43.80,0.01,25.40,34.11,2.01
05/01/2010,8.40,2.01,38.80,0.00,28.30,33.92,2.76
04/09/2006,8.42,2.04,36.10,0.03,26.50,33.73,2.92
04/29/2007,8.42,1.77,35.00,0.00,26.20,33.94,3.25
04/16/2006,8.43,2.06,38.10,0.00,26.30,33.58,2.81
06/29/2007,8.44,1.65,30.80,0.00,24.20,33.31,3.84
11/03/2001,8.45,3.01,44.50,0.02,31.00,34.09,1.83
01/13/2010,8.48,2.16,43.00,0.00,28.70,33.91,3.27
02/01/2010,8.48,2.35,44.00,0.00,31.00,34.09,2.00
01/30/2014,8.49,1.96,40.50,0.01,26.00,33.86,3.00
07/18/2006,8.50,1.97,35.70,0.00,28.00,33.64,3.25
03/12/2009,8.50,1.68,32.00,0.01,25.70,33.88,3.56
04/23/2011,8.51,2.02,39.60,0.01,33.30,34.10,2.18
07/17/2002,8.52,2.37,37.70,0.01,27.30,33.64,2.66
04/13/2000,8.53,2.24,74.00,0.00,31.00,34.13,1.83
10/15/2000,8.53,2.27,80.00,0.00,26.30,34.14,2.27
07/12/2000,8.57,2.11,78.00,0.06,26.60,34.13,2.25
04/07/2008,8.58,2.10,39.90,0.00,29.80,33.78,2.48
08/24/2008,8.58,1.93,35.00,0.00,27.80,33.97,2.94
03/15/2009,8.58,1.93,35.00,0.00,28.20,33.94,3.04
01/29/2002,8.61,2.87,40.60,0.01,28.40,33.83,2.30
01/13/2009,8.61,2.24,44.00,0.00,31.20,34.17,1.97
03/29/2008,8.62,2.35,47.00,0.00,32.20,34.21,1.65
01/18/2011,8.63,2.18,44.00,0.04,29.60,34.19,1.65
08/03/2011,8.63,1.65,28.00,0.03,26.00,33.69,3.49
08/03/2009,8.65,1.63,31.00,0.01,25.00,33.85,3.65
04/15/2006,8.68,1.93,34.80,0.00,25.30,33.51,3.04
07/10/2007,8.69,2.06,39.60,0.00,29.90,33.99,2.50
01/08/2009,8.69,2.15,41.00,0.00,29.70,34.09,2.42
04/28/2007,8.70,1.79,33.00,0.00,25.80,33.90,3.15
07/25/2009,8.70,1.77,33.00,0.00,26.80,33.88,3.70
04/07/2000,8.71,2.16,73.00,0.00,30.50,34.14,2.53
04/18/2000,8.71,2.32,71.00,0.00,30.00,34.07,2.53
05/02/2010,8.73,1.94,34.10,0.00,26.10,33.90,3.21
10/31/2006,8.74,1.85,34.30,0.00,27.00,33.65,3.08
11/10/2009,8.74,2.26,40.00,0.01,29.50,34.06,2.24
07/12/2007,8.75,2.04,39.00,0.00,29.70,33.97,2.56
01/08/2017,8.75,1.77,35.20,0.04,25.20,33.72,2.74
01/15/2007,8.76,1.76,31.90,0.00,25.10,33.87,3.25
04/08/2006,8.77,2.01,33.40,0.06,25.40,33.70,3.07
11/15/2013,8.77,1.74,30.00,0.00,23.10,33.52,3.24
04/15/2003,8.79,2.38,35.60,0.00,26.60,34.07,2.69
08/06/2010,8.80,1.58,28.70,0.04,21.60,33.67,3.70
01/20/2013,8.80,1.82,40.50,0.02,25.50,34.04,2.04
04/08/2001,8.83,2.00,62.00,0.00,30.50,34.03,3.04
01/10/2008,8.83,2.04,36.80,0.00,28.70,33.74,2.60
04/21/2013,8.83,2.08,43.20,0.02,25.00,34.08,1.83
10/21/2008,8.84,2.04,36.00,0.00,28.30,34.05,2.60
07/21/2016,8.84,1.75,32.70,0.13,16.90,33.50,3.08
